"time","symbol","price","float","volume","relative","change","strategy"
"09:00:38  03-13-2020","FNCB","6,98","16.966.500","3.977,0","2,74","34,0","High Momo"
"09:00:38  03-13-2020","SMHI","6,56","18.909.900","1.054,3","1,65","10,1","High Momo"
"09:00:37  03-13-2020","BEDU","6,96","16.684.500","1.436,9","1,16","4,5","High Momo"
"09:00:37  03-13-2020","MVBF","15,76","10.355.600","1.191,6","2,20","8,7","High Momo"
"09:00:36  03-13-2020","MEDS","5,48","4.026.750","5.780,6","1,31","27,4","High Momo"
"09:00:35  03-13-2020","BOCH","8,90","17.138.000","2.135,1","3,34","14,2","High Momo"
"09:00:35  03-13-2020","SLCT","8,81","16.338.200","2.275,0","23,90","10,7","High Momo"
"09:00:35  03-13-2020","SIEB","7,94","8.956.530","2.839,2","1,06","29,1","High Momo"
"09:00:35  03-13-2020","LCNB","15,97","12.450.900","3.994,5","2,86","23,9","High Momo"
"09:00:26  03-13-2020","SMBK","16,69","12.642.000","1.099,8","2,61","13,8","High Momo"
"09:00:26  03-13-2020","BSRR","18,99","14.026.900","1.521,1","3,29","13,1","High Momo"
"09:00:20  03-13-2020","LCNB","15,91","12.450.900","1.321,0","2,09","23,4","High Momo"
"09:00:19  03-13-2020","LCNB","15,50","12.450.900","1.289,4","2,09","20,2","High Momo"
"09:00:17  03-13-2020","ESCA","7,33","11.573.200","1.233,0","2,89","19,0","High Momo"
"09:00:17  03-13-2020","LCNB","15,48","12.450.900","1.149,7","2,05","20,1","High Momo"
"09:00:17  03-13-2020","LEGH","11,07","12.583.200","1.506,7","1,82","10,0","High Momo"
"09:00:13  03-13-2020","CLRB","2,06","5.010.440","3.436,8","1,12","22,6","High Momo"
"09:00:05  03-13-2020","LEGH","11,04","12.583.200","1.340,9","1,77","9,7","High Momo"
"09:00:05  03-13-2020","FNCB","6,83","16.966.500","3.684,4","2,67","31,1","High Momo"
"08:59:49  03-13-2020","FNCB","6,73","16.966.500","3.600,8","2,65","29,2","High Momo"
"08:59:49  03-13-2020","FNCB","6,68","16.966.500","3.568,3","2,65","28,2","High Momo"
"08:59:43  03-13-2020","USL","14,92","2.550.000","1.365,7","13,09","3,2","High Momo"
"08:59:33  03-13-2020","FNCB","6,46","16.966.500","3.541,2","2,64","24,0","High Momo"
